"Job Name","Working Title","Location","Organization Name","Department Description","Brief Description","Detailed Description","Job Requirements","Additional Details","How To Apply","Link"
"IRC100642","Non-traditional Credit Review Team Lead","Columbus, OH, US","Risk Management","Huntington Center
41 S. High Street
Columbus, OH 43215","The Non-traditional Credit Review Team Lead will manage a team of professionals that monitors non-traditional credit risk throughout the Corporation. This credit risk is principally located in the capital markets, asset advisory/management and treasury functions of the Bank and affiliates of the Holding Company.","• The Team Lead will develop and manage a credit review program which assesses the management framework in selecting, underwriting, and administering the direct and indirect credit risk inherent in products, services and trading related activities administered by business segments identified with non-traditional credit risk.
• The program will also assess adherence to policies and procedures and compliance with legal and regulatory requirements.
• This candidate will have a thorough understanding of the market risks measured through various analytics and valuation tools in order to assess the adequacy of the active management and administration of the ensuing counterparty credit risks.
• The Non-traditional Credit Review Team Lead will create a “value added” organization by providing feedback and recommendations to enhance risk management practices and to consult and follow-up on management’s action plans as required.
• This position requires strong leadership skills in the ability to create and manage a team, define objectives, develop both strategic and tactical non-traditional credit review plans and execute those plans in a timely and effective manner.","Qualifications:
• Bachelor’s degree
• 7-10 years experience and knowledgeable of the products, services and trading related activities offered in the capital markets, asset advisory/management and treasury functions.","Grade 74
EOE M/F/D/V
Huntington does not accept solicitations from third party recruiters for any position.","Click on Apply Now","https://essentialconnection.huntington.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=794001113&retainAM=N&addBreadCrumb=RP&p_svid=100642&p_spid=3736583&oapc=5&oas=lwVQv0VWUegH7GSVMuLiwA.."
"IRC107050","Chief Architect","Columbus, OH, US","IT-Enterprise Solutions Architecture","IT-Enterprise Solutions Architecture
Easton Business Service Center
Columbus, OH 43219","Chief Architect for ITG (M-F, 40 Hrs) – Enterprise Solutions Architecture. Leads the program to develop, maintain and govern the enterprise architecture (EA) across the organization.","This individual is also responsible for defining the EA process and architecture review process, and for leading the integration of those processes with related business and IT processes.
Examples of functions this position would be responsible for include:
• Lead the creation or evolution of the enterprise architecture function/program.
• Understand, advocate and support the enterprise's IT strategies.
• Lead the identification and analysis of enterprise business drivers to derive useful business context.
• Lead analysis of the current IT environment to detect critical deficiencies and recommend solutions for improvement.
• Lead analysis of technology industry and market trends to determine their potential impact on the enterprise architecture.
• Promote the EA process, outcomes and results to the organization, including the enterprise's IT and business leaders.
• Lead and facilitate the creation of governing principles to guide EA decision making.
• Lead the development of an implementation plan for the enterprise architecture based on business requirements and IT strategies.
• Ensure that the optimal governance structure and compliance activities (such as handling waivers) are associated with EA compliance.
• Oversee EA implementation and ongoing refinement activities.
• Oversee the evaluation and selection of EA standards.
• Consult with project teams to fit projects to enterprise architecture, as well as to identify when it is necessary to modify the enterprise architecture to accommodate project needs.
• Consult with infrastructure development project teams to fit infrastructure to architecture, as well as to identify when it is necessary to modify the technical architecture to accommodate infrastructure needs.
• Identify organizational requirements for the resources, structures and cultural changes necessary to support the enterprise architecture.
• Oversee the documentation of all architecture design and analysis work.
• Lead the development and execution of a communication and education plan for the enterprise architecture.
• Assess and communicate the value of the enterprise architecture.
• Own and direct the product lab resources to provide proactive testing of emerging technologies.","Basic Qualifications
• Bachelor's degree in computer science, computer engineering, electrical engineering, systems analysis or a related field of study, or equivalent experience.
• Seven to 10 years of experience in at least two IT disciplines (such as technical architecture, network management, application development, SOA/middleware, information analysis, database management or operations) in a multitier environment — or five years of experience in business analysis or business strategic planning.
Other Traits, Characteristics and Experience
• Familiarity with basic information management practices.
• Exposure to multiple, diverse technologies and processing environments.
• Exceptional interpersonal skills, including teamwork, facilitation and negotiation.
• Strong leadership skills.
• Excellent analytical and technical skills.
• Excellent written and verbal communication skills.
• Excellent planning and organizational skills.
• Knowledge of all components of holistic enterprise architecture.
• Knowledge of business re-engineering principles and processes.
• Basic knowledge of financial models and budgeting.
• Familiarity with basic graphical modeling approaches, tools and model repositories.
• Understanding of the political climate of the enterprise and how to navigate the politics.
• Ability to balance the long-term ('big picture') and short-term implications of individual decisions.
• Ability to translate business needs into EA requirements.
• Ability to estimate the financial impact of EA alternatives
• Ability to apply multiple solutions to business problems.
• Ability to rapidly comprehend the functions and capabilities of new technologies.
• Respected as a leader.
• Influential in the organization and a team player.
• Highly supportive of the business and of its ideals and strategies.
• Neutral toward technology, vendor and product choices; more interested in results than in personal preferences.
• Unflappable in the face of opposition to architectural ideals.
• Effective at driving short-term actions that are consistent with long-term goals.
• Innovative, but practical.","Grade 74
EOE M/F/D/V
Huntington does not accept solicitations from 3rd party recruiters for any position.
No relocation is available for this position.","Click on the Apply Now button","https://essentialconnection.huntington.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=794001113&retainAM=N&addBreadCrumb=RP&p_svid=107050&p_spid=4000632&oapc=8&oas=qEF_aYuimy4uKkHnex0Bcw.."
"IRC108121","Not for Profit Specialist","Cleveland, OH, US","Specialty Banking Administration – Not For Profit Team","Specialty Banking Administration – Not For Profit (NFP) Team
Cleveland, OH","Leads and directs the corporate relationship activity for targeted NFP organizations, including all Colleges, Universities and large Associations within a defined Huntington region(s). Responsibilities include providing strategic direction and guidance for regional teams and supporting the implementation of NFP programming in the regional market; working in conjunction with the Regional NFP Leader(s) to orchestrate regional NFP sales teams and sales activities; providing industry knowledge and guidance to Regional NFP Leaders and NFP sales teams; making sales calls with commercial bankers and partners with total accountability for the sales process; providing innovative solutions and orchestration of internal and external partners; motivating and monitoring team performance by region and reporting results back to the regional team(s), senior and executive management.","· Develops and executes a regional NFP marketing strategy, including attracting, retaining and growing high-quality NFP relationships consistent with Huntington’s corporate NFP strategy
· Assists with setting and monitoring regional sales goals
· Manages the NFP sales process, including regional sales meetings, account planning, pipeline and appointment tracking
· Develops and maintains a current list of all NFP existing and prospective relationships by region; ensures team members are assigned on each relationship
· Actively makes sales calls with bankers and partners with total accountability for the sales process, including referrals to partners
· Supervises, motivates and monitors team performance by region as it relates to NFP sales – reports back to team(s) and senior and executive management
· Maintains detailed product knowledge of Huntington’s products and services
· Understands regional competition and gaps to best position Huntington against them
· Works in conjunction with the NFP Segment Leader and other business segment leaders throughout Huntington to ensure proper product set and developing comprehensive segment sales and proposal tools that support Huntington’s strategy
· Represents and actively participates in regional and national industry conferences and events
· Follows a disciplined and specialized practice around NFP credit activities that generates revenue, deepens and strengthens relationships, and mitigates risk for Huntington","Basic Qualifications:
· Bachelor’s Degree
· 7-10 years of experience with middle market commercial banking sales or related business environment
· Not-For-Profit industry expertise
· Advanced presentation, negotiation, and communications skills
· Strong team leadership skills","Grade 73
EOE M/V/D/F
Huntington does not accept solicitations from 3rd Party Recruiters for any position","Click on Apply Now!","https://essentialconnection.huntington.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=794001113&retainAM=N&addBreadCrumb=RP&p_svid=108121&p_spid=4030602&oapc=11&oas=ahyozCq4gOoga3_IZw91tQ.."
"IRC108127","Not for Profit Specialist","Troy, MI, US","Specialty Banking Administration – Not For Profit Team","Specialty Banking Administration – Not For Profit Team
East Michigan (position will cover East and West Michigan and Northwest Ohio)","Leads and directs the corporate relationship activity for targeted NFP organizations, including all Colleges, Universities and large Associations within a defined Huntington region(s). Responsibilities include providing strategic direction and guidance for regional teams and supporting the implementation of NFP programming in the regional market; working in conjunction with the Regional NFP Leader(s) to orchestrate regional NFP sales teams and sales activities; providing industry knowledge and guidance to Regional NFP Leaders and NFP sales teams; making sales calls with commercial bankers and partners with total accountability for the sales process; providing innovative solutions and orchestration of internal and external partners; motivating and monitoring team performance by region and reporting results back to the regional team(s), senior and executive management.","· Develops and executes a regional NFP marketing strategy, including attracting, retaining and growing high-quality NFP relationships consistent with Huntington’s corporate NFP strategy
· Assists with setting and monitoring regional sales goals
· Manages the NFP sales process, including regional sales meetings, account planning, pipeline and appointment tracking
· Develops and maintains a current list of all NFP existing and prospective relationships by region; ensures team members are assigned on each relationship
· Actively makes sales calls with bankers and partners with total accountability for the sales process, including referrals to partners
· Supervises, motivates and monitors team performance by region as it relates to NFP sales – reports back to team(s) and senior and executive management
· Maintains detailed product knowledge of Huntington’s products and services
· Understands regional competition and gaps to best position Huntington against them
· Works in conjunction with the NFP Segment Leader and other business segment leaders throughout Huntington to ensure proper product set and developing comprehensive segment sales and proposal tools that support Huntington’s strategy
· Represents and actively participates in regional and national industry conferences and events
· Follows a disciplined and specialized practice around NFP credit activities that generates revenue, deepens and strengthens relationships, and mitigates risk for Huntington","Basic Qualifications:
· Bachelor’s Degree
· 7-10 years of experience with middle market commercial banking sales or related business environment
· Not-For-Profit industry expertise
· Advanced presentation, negotiation, and communications skills
· Strong team leadership skills","Grade 73
EOE M/V/D/F
Huntington does not accept solicitations from 3rd Party Recruiters for any position","Click on Apply Now!","https://essentialconnection.huntington.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=794001113&retainAM=N&addBreadCrumb=RP&p_svid=108127&p_spid=4030608&oapc=14&oas=TD_ZNBwwZ4avMU5IKA7Pww.."
"IRC108128","Not for Profit Specialist","Cincinnati, OH, US","Specialty Banking Administration – Not For Profit Team","Specialty Banking Administration – Not For Profit Team
Southern Ohio/Kentucky","Leads and directs the corporate relationship activity for targeted NFP organizations, including all Colleges, Universities and large Associations within a defined Huntington region(s). Responsibilities include providing strategic direction and guidance for regional teams and supporting the implementation of NFP programming in the regional market; working in conjunction with the Regional NFP Leader(s) to orchestrate regional NFP sales teams and sales activities; providing industry knowledge and guidance to Regional NFP Leaders and NFP sales teams; making sales calls with commercial bankers and partners with total accountability for the sales process; providing innovative solutions and orchestration of internal and external partners; motivating and monitoring team performance by region and reporting results back to the regional team(s), senior and executive management.","· Develops and executes a regional NFP marketing strategy, including attracting, retaining and growing high-quality NFP relationships consistent with Huntington’s corporate NFP strategy
· Assists with setting and monitoring regional sales goals
· Manages the NFP sales process, including regional sales meetings, account planning, pipeline and appointment tracking
· Develops and maintains a current list of all NFP existing and prospective relationships by region; ensures team members are assigned on each relationship
· Actively makes sales calls with bankers and partners with total accountability for the sales process, including referrals to partners
· Supervises, motivates and monitors team performance by region as it relates to NFP sales – reports back to team(s) and senior and executive management
· Maintains detailed product knowledge of Huntington’s products and services
· Understands regional competition and gaps to best position Huntington against them
· Works in conjunction with the NFP Segment Leader and other business segment leaders throughout Huntington to ensure proper product set and developing comprehensive segment sales and proposal tools that support Huntington’s strategy
· Represents and actively participates in regional and national industry conferences and events
· Follows a disciplined and specialized practice around NFP credit activities that generates revenue, deepens and strengthens relationships, and mitigates risk for Huntington","Basic Qualifications:
· Bachelor’s Degree
· 7-10 years of experience with middle market commercial banking sales or related business environment
· Not-For-Profit industry expertise
· Advanced presentation, negotiation, and communications skills
· Strong team leadership skills","Grade 73
EOE M/V/D/F
Huntington does not accept solicitations from 3rd Party Recruiters for any position","Click on Apply Now!","https://essentialconnection.huntington.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=794001113&retainAM=N&addBreadCrumb=RP&p_svid=108128&p_spid=4030609&oapc=17&oas=DZXVYGlm82KeBcD8ZkQ0-w.."
"IRC109200","Information Security Analyst","Columbus, OH, US","IT-Information Security","IT-Information Security
Easton Business Service Center
Columbus, OH 43219","IT Security Analyst - Full-time/flexible hours including hours beyond the normal schedule when necessary. Assist in assessing the level of security risk for the bank by evaluating data received about security threats.","Information Security is working to develop new procedures to improve our abilities to identify and mitigate security risks within the Huntington environment. This position will be responsible for monitoring security controls to detect and respond to threats present in the Huntington environment and for reviewing new technology projects for security risks and helping to mitigate those risks prior to production. The person will also be responsible for establishing a governance and controls process to define and monitor key controls across the enterprise and drive automation into these processes.
The successful candidate will collaborate with the different IT and non-IT business areas, keep current with regulatory frameworks, internal policy, as well as provide guidance, training, and support in order to effectively manage compliance at Huntington.
The successful candidate, in addition to his/her primary responsibilities, will support the initiatives of the team. These additional assignments are in the areas of Threat and Vulnerability Management, Event Management, Platform Security, Data Loss Protection and Project Management. These activities also include acting as a subject matter expert in a core area of technology, to ensure proper communication, coordination, and remediation follow up. This is accomplished with effective detailed communication, understanding of technology issues and problems, and collaboration on these to find workable solutions for the business, technologies, and security that appropriately manage risk.
Primary roles and responsibilities include:
· Assist in assessing the level of security risk for the bank by evaluating data received about security threats, assigning priority ratings for remediation, and communicating the risks to the proper teams and leaders for mitigation.
· Retrieve, analyze, or provide reports that determine the security state of the corporation’s environment, coordinate the response to the Threat and Vulnerability Management Team, and assign responsibility for remediation to the appropriate organization and/or individual.
· Assist in the evaluation of Security solutions and determine their functionality, effectiveness and efficiency presenting findings and recommendations to management.
· Monitor security tools for unauthorized activity and follow up as needed on suspicious activity noted. Represent information security as part of an on-going on-call rotation for outages.
· Review technical and procedural documentation for systems and solutions to ensure completeness and accuracy.
· Provides clear and concise recommendations and guidance in written and verbal form to both business and technology personnel.
· Contributes to the technical understanding and promotion of new and existing information security standards, solutions and tools.
· Identifies, reviews and recommends new security and risk technology that can be used to address business issues and reduce/mitigate risk.","Basic Qualifications
• CISSP Certified (or equivalent GIAC, ISACA, education equivalent required)
• Bachelors Degree in Technology related field of study
• 3 years of progressively responsible experience in Information Technology (including application, server, and or database experience).
• 1-3 years of recent hands on experience in either Unix, Database, and/or Web middleware technologies with full understanding of managing security issues on these platforms.
• 2-3 years experience in information security or related training in information security disciplines
Other Traits, Characteristics, and Experience
• Demonstrated experience in identifying and coordinating secure configurations on Unix, Network and or Database platforms, planning Access Controls (including roles based controls) and Privileged User Monitoring, identifying appropriate patch management policies and ITIL process leadership. This includes ensuring applications developed comply to these configurations
• Demonstrated experience influencing system administrators and business leaders to enhance security process and enable the business through security.
• Strong understanding of risk management and measuring techniques
• Knowledge of with current IT Security technologies (WSS, PKI, ISO27001/2, FISAP, NIST 800-53, CoBit, SCAP)
• Knowledge of eDirectory/Active Directory preferred
• Knowledge of Novell products a plus
• Must be able to work well under time constraints
• Must be able to maintain confidentiality","Grade 71
EOE M/F/D/V
Huntington does not accept solicitations from 3rd party recruiters for any position.
No relocation is available for this position.
Based on experience this position may be filled at a senior level.","Click on the Apply Now button","https://essentialconnection.huntington.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=794001113&retainAM=N&addBreadCrumb=RP&p_svid=109200&p_spid=4064614&oapc=20&oas=k1Bre3gA3fMdd9HQbByrUw.."
"IRC109202","Information Security Analyst","Columbus, OH, US","IT-Information Security","IT-Information Security
Easton Business Service Center
Columbus, OH 43219","IT Security Analyst, full-time/flexible hours including hours beyond the normal schedule when necessary. Assist in assessing the level of security risk for the bank by evaluating data received about security threats.","Information Security is working to develop new procedures to improve our abilities to identify and mitigate security risks within the Huntington environment. This position will be responsible for monitoring security controls to detect and respond to threats present in the Huntington environment and for reviewing new technology projects for security risks and helping to mitigate those risks prior to production. The person will also be responsible for establishing a governance and controls process to define and monitor key controls across the enterprise and drive automation into these processes.
The successful candidate will collaborate with the different IT and non-IT business areas, keep current with regulatory frameworks, internal policy, as well as provide guidance, training, and support in order to effectively manage compliance at Huntington.
The successful candidate, in addition to his/her primary responsibilities, will support the initiatives of the team. These additional assignments are in the areas of Threat and Vulnerability Management, Event Management, Platform Security, Data Loss Protection and Project Management. These activities also include acting as a subject matter expert in a core area of technology, to ensure proper communication, coordination, and remediation follow up. This is accomplished with effective detailed communication, understanding of technology issues and problems, and collaboration on these to find workable solutions for the business, technologies, and security that appropriately manage risk.
Primary roles and responsibilities include:
· Assist in assessing the level of security risk for the bank by evaluating data received about security threats, assigning priority ratings for remediation, and communicating the risks to the proper teams and leaders for mitigation.
· Retrieve, analyze, or provide reports that determine the security state of the corporation’s environment, coordinate the response to the Threat and Vulnerability Management Team, and assign responsibility for remediation to the appropriate organization and/or individual.
· Assist in the evaluation of Security solutions and determine their functionality, effectiveness and efficiency presenting findings and recommendations to management.
· Monitor security tools for unauthorized activity and follow up as needed on suspicious activity noted. Represent information security as part of an on-going on-call rotation for outages.
· Review technical and procedural documentation for systems and solutions to ensure completeness and accuracy.
· Provides clear and concise recommendations and guidance in written and verbal form to both business and technology personnel.
· Contributes to the technical understanding and promotion of new and existing information security standards, solutions and tools.
· Identifies, reviews and recommends new security and risk technology that can be used to address business issues and reduce/mitigate risk.","Basic Qualifications
• CISSP Certified (or equivalent GIAC, ISACA, education equivalent required)
• Bachelors Degree in Technology related field of study
• 3 years of progressively responsible experience in Information Technology (including application, server, and or database experience).
• 1-3 years of recent hands on experience in either Unix, Database, and/or Web middleware technologies with full understanding of managing security issues on these platforms.
• 3 years experience in information security or related training in information security disciplines
Other Traits, Characteristics, and Experience
• Demonstrated experience in identifying and coordinating secure configurations on Unix, Network and or Database platforms, planning Access Controls (including roles based controls) and Privileged User Monitoring, identifying appropriate patch management policies and ITIL process leadership. This includes ensuring applications developed comply to these configurations
• Demonstrated experience influencing system administrators and business leaders to enhance security process and enable the business through security.
• Strong understanding of risk management and measuring techniques
• Knowledge of with current IT Security technologies (WSS, PKI, ISO27001/2, FISAP, NIST 800-53, CoBit, SCAP)
• Knowledge of eDirectory/Active Directory preferred
• Knowledge of Novell products a plus
• Must be able to work well under time constraints
• Must be able to maintain confidentiality","Grade 71
EOE M/F/D/V
Huntington does not accept solicitations from 3rd party recruiters for any position.
No relocation is available for this position.
Based on experience this position may be filled at a senior level.","Click on the Apply Now button","https://essentialconnection.huntington.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=794001113&retainAM=N&addBreadCrumb=RP&p_svid=109202&p_spid=4064616&oapc=23&oas=vjMa1IY86kLF0Le4y_-Jyg.."
"IRC109846","Community Development Banker","Indianapolis, IN, US","Community Development Lending","Community Development Banker – Indianapolis","Originates qualified community development loans and monitors the credit quality and profitability of assigned relationships.","• Develops and maintains profitable relationships with residential builders and real estate developers in the Affordable Housing Segment.
• Oversees all sales and service efforts related to real estate construction loans, including loan origination and documentation, underwriting, ongoing administration, (such as draw requests), and loan approvals.
• Cross sells other bank products.
• Monitors portfolio for risk.
• Increase revenue by generating loans and deposits, as well as cross-selling products and services to existing and prospective customers.","Qualifications:
• Bachelor’s degree.
Other Requirements:
• 3-5 years proven commercial credit, negotiation and communication skills required.
• Must have a complete working knowledge of Federal, State and Local Affordable Housing and Community Development Programs, including Low Income Housing Tax Credits, New Markets Tax Credits and Historic Tax Credits.","Grade 71
May be considered for a Community Development Banker Senior position depending on experience.
EOE M/F/D/V
Huntington does not accept solicitations from third party recruiters for any position.","Click on Apply Now","https://essentialconnection.huntington.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=794001113&retainAM=N&addBreadCrumb=RP&p_svid=109846&p_spid=4092624&oapc=26&oas=P8hR8ZHATuG6YrQVpjNWog.."
"IRC109933","Treasury Management Healthcare Industry Segment Leader","Columbus, OH, US","Commercial Services","Huntington Center
41 S High Street
Columbus, OH 43215","The Treasury Management Healthcare Industry Segment Leader has responsibility for the design, development and marketing of products for the Healthcare market.","· Responsible for the design, development, and marketing of products for one or more divisions, product lines, or market segments.
· Reviews and modifies existing products to maximize profitability and meet customer needs.
· Oversees all tasks associated with new product development and works with business units to introduce and drive sales growth of related products on an ongoing basis.
· Develops and oversees the production of marketing materials, advertisements, direct mail, and/or other communications.
· Evaluates products and recommends changes in the product or marketing strategy.","Job Requirements:
· Minimum 7 years experience in the Healthcare business or alternatively, a minimum 7 years related healthcare experience in treasury management, consulting or financial solutions delivery to the healthcare industry.
· Experience in revenue cycle management and administration or medical banking and treasury management services supporting a healthcare provider's patient billing, claims management, revenue accounting and medical banking activities
· Bachelor’s Degree or equivalent
· Previous healthcare business management or healthcare sales management experience preferred.
Other Skills and Abilities:
· Strong management and mentoring skills.
· Ability to resolve issues and drive performance.
· Record of consistent contribution to business unit growth
· Excellent time management and organizational skills.
· Outstanding solution selling skills or experience
· Excellent client management skills.
· Excellent presentation and negotiating skills.
· Interact professionally and effectively with clients, business partners, and peers at all levels.
· Goal-oriented.
· Well-developed verbal and written communication skills.
· Critical thinking, problem solving, and analytical ability.
· Resourceful.","Grade: 73
EOE M/F/V/D
Huntington does not accept solicitations from Third Party recruiters.","Click on the APPLY button.","https://essentialconnection.huntington.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=794001113&retainAM=N&addBreadCrumb=RP&p_svid=109933&p_spid=4098609&oapc=29&oas=2TapAMHdg3082koGBhF7cw.."
"IRC109938","Treasury Management Retail/Point of Sale Segment Manager","Columbus, OH, US","Commercial Services","","","","","","","https://essentialconnection.huntington.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=794001113&retainAM=N&addBreadCrumb=RP&p_svid=109938&p_spid=4098614&oapc=32&oas=drIZt9rG4J4TydtMD7vGaA.."
