"Job Name","Working Title","Location","Organization Name","Department Description","Brief Description","Detailed Description","Job Requirements","Additional Details","How To Apply","Link"
"IRC6685","Critical Care Clinical Nurse Specialist","","ICU","","The successful candidate willÂ provide direct nursing care to a select population in a recognized nursing specialty area. Will plan, guide, and direct care given by other nursing personnel. 
Education/Training/Qualifications:
• Current Registered Nurse licensure to practice nursing in the state of Louisiana. 
• Specialist licensure to practice advance practice registered nursing in the state of Louisiana. 
• Current licensure and certification required by the LA. State Board of Nursing in Clinical Nurse Specialist. 
• Clinical nurse specialist role indicates a concentration/focus in Cardiovascular/Adult Critical Care Nursing either by primary education or experience. 
• Two years previous experience as Clinical Nurse Specialist preferred. 
• Professional knowledge of nursing theory and practice.","Fulltime; 8am - 4:30pm","Apply online @ www.lafayettegeneral.com
Â","8AMâ€“4:30PM","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=6685&p_spid=7007&oapc=5&oas=mdcJlAP_m7BLvBOfh8fgmQ.."
"IRC6846","RN","","St. Martin Hospital","","EDUCATION/TRAINING/EXPERIENCE:
Current licensure as a Registered Nurse in the State of Louisiana required.
CPR certification to be obtained with 30 days of hire.
Falls Prevention, OSHA, and Restraints training to be obtained with in 30 days of hire.
Â","PRN","Online @ www.lafayettegeneral.com","PRN","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=6846&p_spid=7168&oapc=8&oas=rVpU-5hrzqATZdn5hBrEaw.."
"IRC6921","Clinical Supervisor - Telemetry","","7th Floor","","• Two (2) years clinical experience required 
• Current licensure as a registered nurse in the State of Louisiana. 
• Current ACLS certification. 
• Experience with role of charge nurse. 
• Professional certification preferred. 
• At leaset one (1) year of management experience preferred. 
• Preferred Baccalaureate Degree in Nursing, Business, Health Care Administration, or equivalent experience.
• Current CPR certification; advanced certification preferred if appropriate for area of clinical practice.","Fulltime","Apply online at www.lafayettegeneral.com
Â","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=6921&p_spid=7243&oapc=11&oas=oAtoiZq6TViBcOg2M7k61g.."
"IRC6136","RN/Speciality","","ICU","","High School Diploma required.Â Current licensure as a registered nurse with the State of Louisiana required.Â 
Current BLS Certification CPR-C.Â Advanced certification, if appropriate for area of clinical practice, preferred .","Full timeÂ 7p-7aÂ Â every other weekend","Online at www.lgmc.com","7PMâ€“7AM","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=6136&p_spid=6458&oapc=14&oas=4QeW0vhKZEAJM-HEBDy1lA.."
"IRC7774","RN","","Post Op Unit","","High School Diploma required.Â Current licensure as a registered nurse with the State of Louisiana required.Â 
Current BLS Certification CPR-C.Â Advanced certification, if appropriate for area of clinical practice, preferred .","Fulltime","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7774&p_spid=8096&oapc=17&oas=1wVnVIId0I1_S1mCsgRxWw.."
"IRC7037","RN","","7th Floor","","High School Diploma required.Â Current licensure as a registered nurse with the State of Louisiana required.Â Current BLS Certification CPR-C.Â Advanced certification, if appropriate for area of clinical practice, preferred .","Fulltime","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7037&p_spid=7359&oapc=20&oas=v7ZjUUR9kdLL6048-qjviA.."
"IRC7486","Inpatient/RN","","SMH Nursing Services","","","Part-Time position 
Shifts 3-ll/11-7
Nights","Apply online @ www.lafayettegeneral.com
Â","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7486&p_spid=7808&oapc=23&oas=4Rup7wWysI9tnxERpjO2EA.."
"IRC7663","RN/Speciality","","ICU","","High School Diploma required.Â Current licensure as a registered nurse with the State of Louisiana required.Â 
Current BLS Certification CPR-C.Â Advanced certification, if appropriate for area of clinical practice, preferred .","Fulltime","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7663&p_spid=7985&oapc=26&oas=zb5D45xlXj4bvE1v4iDrqg.."
"IRC7345","RN/Speciality.2","","NICU","","High School Diploma required.Â 
Current licensure as a registered nurse with the State of Louisiana required.Â 
Current BLS Certification CPR-C.Â 
Advanced certification, if appropriate for area of clinical practice, preferred .Â 
Three years work experience inÂ NICUÂ required.","Part-time","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7345&p_spid=7667&oapc=29&oas=Wa00IesV8zjsz8PquilZQA.."
"IRC7223","Clinical Analyst.1","","Information Systems","","Degree in Nursing - RN or LPN preferred. Other degrees or experience may be considered. 
Three years experience in medicalÂ setting required. Two years experience at LGMC preferred. 
Experinece in programming - analysis and - or clinical documentation systems a plus.","Fulltime; day shift","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7223&p_spid=7545&oapc=32&oas=QTIZzb7XnFvd1tUTTojY2Q.."
"IRC7740","RN","","6th Floor","","EDUCATION/TRAINING/EXPERIENCE:
Current licensure as a Registered Nurse in the State of Louisiana required.
BLS Certification (CPR-C) to be obtained with in 30 days of hire.
Falls Prevention, OSHA &amp; Restraints to be obtained with in 30 days of hire and renewable annually.","Fulltime","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7740&p_spid=8062&oapc=36&oas=BTvpIXIOGMKtxhlbxzcvhw.."
"IRC7468","RN Teamleader","","1110 - 2 West","","EDUCATION/TRAINING/EXPERIENCE:
Â
A.Â Â Â Â Â Â Â One (1) year experience required.
B.Â Â Â Â Â Â Â Â Current licensure as a registered nurse in the State of Louisiana.
C.Â Â Â Â Â Â Â Â Experience with role of charge nurse.
D.Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Certification preferred.
E.Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Preferred Baccalaureate Degree in Nursing, Business, Health Care Administration, or equivalent experience.
F.Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Current CPR certification; advanced certification preferred if appropriate for area of clinical practice.","Fulltime","Online @ www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7468&p_spid=7790&oapc=39&oas=6GkHY8pm7cUcceYegInTjQ.."
"IRC7726","RN","","1120 - 8th Floor","","EDUCATION/TRAINING/EXPERIENCE:
Current licensure as a Registered Nurse in the State of Louisiana required.
CPR certification to be obtained with 30 days of hire.
Falls Prevention, OSHA, and Restraints training to be obtained with in 30 days of hire.
Â","Fulltime","Online @ www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7726&p_spid=8048&oapc=42&oas=F9bd60-PMKf5xP2rl5gNCw.."
"IRC7653","Inpatient/RN","","SMH Nursing Services","","","Night Shifts","Apply online @ www.lafayettegeneral.com
Â","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7653&p_spid=7975&oapc=45&oas=ei49HI7-C3AnPNw70i8rjQ.."
"IRC7737","RN","","6th Floor","","EDUCATION/TRAINING/EXPERIENCE:
Current licensure as a Registered Nurse in the State of Louisiana required.
BLS Certification (CPR-C) to be obtained with in 30 days of hire.
Falls Prevention, OSHA &amp; Restraints to be obtained with in 30 days of hire and renewable annually.","Fulltime","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7737&p_spid=8059&oapc=48&oas=SnvE0e3BUj0x5WK64H5XhA.."
"IRC7738","RN","","Med/Surg - 9 West","","EDUCATION/TRAINING/EXPERIENCE:
Current licensure as a Registered Nurse in the State of Louisiana required.
BLS Certification (CPR-C) to be obtained with in 30 days of hire.
Falls Prevention, OSHA &amp; Restraints to be obtained with in 30 days of hire and renewable annually.","Fulltime","Online @ www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7738&p_spid=8060&oapc=51&oas=C-MOPDO3ud4_WnGSOsROEg.."
"IRC7691","RN","","5th Floor","","EDUCATION/TRAINING/EXPERIENCE:
Current licensure as a Registered Nurse in the State of Louisiana required.
BLS Certification (CPR-C) to be obtained with in 30 days of hire.
Falls Prevention, OSHA &amp; Restraints to be obtained with in 30 days of hire and renewable annually.","Fulltime","Online at www.lafayettegeneral.com
Â","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7691&p_spid=8013&oapc=54&oas=fTa0Ok6GgZWyEbRaZebXGA.."
"IRC7689","RN","","6th Floor","","EDUCATION/TRAINING/EXPERIENCE:
Current licensure as a Registered Nurse in the State of Louisiana required.
BLS Certification (CPR-C) to be obtained with in 30 days of hire.
Falls Prevention, OSHA &amp; Restraints to be obtained with in 30 days of hire and renewable annually.","Fulltime; 7pm - 7am","Online at www.lafayettegeneral.com","7PMâ€“7AM","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7689&p_spid=8011&oapc=57&oas=CYDDhJ3Pp6RKAeaFOci4Zg.."
"IRC7682","RN","","4th Floor","","EDUCATION/TRAINING/EXPERIENCE:
Current licensure as a Registered Nurse in the State of Louisiana required.
BLS Certification (CPR-C) to be obtained with in 30 days of hire.
Falls Prevention, OSHA &amp; Restraints to be obtained with in 30 days of hire and renewable annually.","Part time","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7682&p_spid=8004&oapc=60&oas=0tpycrobDKYph9lBjjHw-A.."
"IRC7734","RN/Speciality.2","","Emergency","","High School Diploma required.Â 
Current licensure as a registered nurse with the State of Louisiana required.Â 
Current BLS Certification CPR-C.Â A
dvanced certification, if appropriate for area of clinical practice, preferred .Â 
Three years work experience in area of specialty or five years of hospital work experience required.","Fulltime","Online at www.lafayettegeneral.com","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7734&p_spid=8056&oapc=63&oas=SNbqiTFByIAzvCQQHSMr3w.."
"IRC7627","PRN-RN (Multi Areas)","","LGSH Recovery","","Current licensure as RN in the State of Louisiana.Â One year of nursing work experience.Â Current BLS Certification, CPR-C.Â Ability to work in multiple areas of the surgical hospital.","PRN","Apply online @ www.lafayettegeneral.com.
Â","PRN","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7627&p_spid=7949&oapc=67&oas=ML-5ismRPvBuZn2uCbm7bw.."
"IRC7765","RN / Emergency Department","","St. Martin Hospital","","EDUCATION / TRAINING / EXPERIENCE:
• Graduate from an accredited school of nursing with a current license with the Louisiana State Board of Nurse Examiners.
• Demonstrates good nursing knowledge and ability.
• ACLS certification is a requirement within the first year of employment.
• PALS certification once during nursing practice.
• ER experience preferred.","","Apply online @ www.lafayettegeneral.com
Â","Other","","http://irecruit.lgmc.com/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=1960293339&retainAM=N&addBreadCrumb=RP&p_svid=7765&p_spid=8087&oapc=70&oas=S5TF_gZElFbDV31LO-SXoQ.."
