"Job Name","Working Title","Location","Organization Name","Department Description","Brief Description","Detailed Description","Job Requirements","Additional Details","How To Apply","Link"
"IRC78684","Design Software Verification Engineer","Longmont, CO, US","Design Software Verification","Xilinx the worldwide leader in programmable logic (FPGA) has an exciting new position for a Design Verification Software Engineer. This challenging position involves the design and implementation of HDL designs for FPGA software verification. A successful candidate will test the Xilinx Software Interface by creating RTL sources and analyzing synthesized netlists, and FPGA implementation results. The engineer will create designs for testing user flows with different implementation options, refine timing constraints, and apply physical constraints with floorplanning techniques to find defects and improve the customer release software quality. Strong scripting skills who can work on test automation is highly desirable.
This position will provide a challenging and rewarding assignment for the successful candidate.
Role:
ï Create RTL based designs on the next generation Xilinx architectures
ï Test users flows like a real designer with the next generation FPGA Software from the User Interface and Tcl based scripting
ï Manage and Execute -Test planning, creation, implementation, and reporting
ï Develop scripts to automate regression tests
ï Interact with Development, Marketing, and Application Engineers to identify use cases","ï BS or MS Degree in Computer or Electronics Engineering
ï Experience with HDL design (VHDL, Verilog or System Verilog)
ï Experience using FPGA tools - Xilinx ISE tools and/or PlanAhead Design tools preferred
ï Excellent programming/scripting skills in Tcl or Perl
ï Excellent debugging skills and ability to take on challenging problems
ï Knowledge of software testing practices, methodologies and procedures
ï Good communication (verbal and written) and teamwork skills
ï BS Degree or equivalent experience and typically 9+ years of related experience","Applicants are treated throughout the employment process without regard to race, color, religion, national origin, citizenship, age, sex, marital status, ancestry, physical or mental disability, veteran status or sexual orientation. The information requested here is not gathered for employment decisions. It is used only for compliance with Federal laws. Your responses are strictly voluntary, and any information provided will remain confidential. If you choose not to 'self-identify', you will not be subject to any adverse treatment.","","","","https://xapps9.xilinx.com/irec_prod/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=779601927&retainAM=N&addBreadCrumb=RP&p_svid=78684&p_spid=3736024&oapc=5&oas=exu9B16joW4mz8-JJWQ-Lg.."
"IRC78774","Unix System Administrator","San Jose, CA, US","Technology Services Engineering Support","The Unix System Administrator position supports the design and implementation of a complex local and wide-area network of Unix, Linux and storage systems supporting the Engineering organizationís efforts. In addition this position is expected to provide innovative solutions to complex problems and provide technical excellence to the organization.","The Unix System Administrator will be responsible for providing highly complex technical support to the Engineering organizations at Xilinx and will be expected to provide technical analysis for the IT organization. This position will be required to recommend complex UNIX workstation and storage solutions for a dynamic fast paced environment. The ability to integrate environments and understand complex compute infrastructure is a must.
The Unix System Administrator will also be expected to participate in break/fix issues, perform root cause analysis and to provide proactive service with the goal of preventing problems. The ability to automate tasks and to prepare formulaic processes for hand off to other organizations is a must.
Additional duties include:
Installation, configuration and maintenance of system monitoring tools.
Establish/recommend policies on system and service use.
Evaluate, recommend and pursue technical and procedural solutions.
Provide technical interaction with other support organizations.
Provide technical explanations and recommendations to management.","Xilinx Inc. is an Equal Employment Opportunity, Affirmative Action Employer that complies with all US federal and state laws regarding non-discrimination.
THIS IS A TEMPORARY JOB VACANCY","","","","https://xapps9.xilinx.com/irec_prod/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=779601927&retainAM=N&addBreadCrumb=RP&p_svid=78774&p_spid=3742013&oapc=8&oas=mD6cKxH6wDN2T_BJ_GYptA.."
"IRC78733","Purchasing Assistant","Singapore,SG","Purchasing","- Assist Purchaser to procure and manage indirect materials and services for commodities assigned. - Assist with quote reviews &amp; negotiation, prepare purchase orders from approved requisitions. - Follow up on orders placed and maintain necessary records. - Manage order communications and acknowledgement. - Resolve receiving, returns and invoice related issues. - Maintenance of Supplier Contact List. - Ensure compliance to company policies and procedures. - Provide admin support as and when assigned.","- O level or diploma holder. - Demonstrated proficiency in Excel, MS Office and general computer skills. - At least two years work experience in Purchasing is preferred. - Experience with Oracle Purchasing including iProcurement is advantageous. - Strong written, oral communications, organizational and prioritization abilities.","Xilinx Inc. is an Equal Employment Opportunity, Affirmative Action Employer that complies with all US federal and state laws regarding non-discrimination.
THIS IS A TEMPORARY JOB VACANCY","","","","https://xapps9.xilinx.com/irec_prod/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=779601927&retainAM=N&addBreadCrumb=RP&p_svid=78733&p_spid=3739013&oapc=11&oas=9tPTnCkpobw_mJSE0P_QDg.."
"IRC78558","STAFF SOFTWARE ENGR","San Jose, CA, US","SPD","Engineer will work in the fpga device modeling team which is responsible for functionality, delay and timing modeling for Xilinx nextgen fpga software. The work will involved in-depth knowledge of delay calculation methodology for smaller process nodes. The engineer will be responsible for building state of art delay calculation engine that will be used in device timing characterization and Rodin tools flow.","- Master or Phd in CS/CE/EE- Background in CCS modeling for standard cells
- Background in spice simulation software
- Excellent C++ programming skills.","Applicants are treated throughout the employment process without regard to race, color, religion, national origin, citizenship, age, sex, marital status, ancestry, physical or mental disability, veteran status or sexual orientation. The information requested here is not gathered for employment decisions. It is used only for compliance with Federal laws. Your responses are strictly voluntary, and any information provided will remain confidential. If you choose not to 'self-identify', you will not be subject to any adverse treatment.","","","","https://xapps9.xilinx.com/irec_prod/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=779601927&retainAM=N&addBreadCrumb=RP&p_svid=78558&p_spid=3729018&oapc=14&oas=HaCoPJNLcwChKV9hQqeruQ.."
"IRC78560","IC Design Intern","San Jose, CA, US","PPD","Looking for a summer intern to collect, analyze and documentVNC data.","The candidate should be proficient in programming and haveknowledge in operating lab equipments such as oscilloscope and clockgenerators. Candidate is also expected to demonstrate basic skills in utilizingan automated data collection flow and aptitude towards troubleshooting silicon,software and hardware problems. The job requires the candidate to document allthe data in user friendly format in MS Excel and then generate a comprehensiblereport in PDF.","Applicants are treated throughout the employment process without regard to race, color, religion, national origin, citizenship, age, sex, marital status, ancestry, physical or mental disability, veteran status or sexual orientation. The information requested here is not gathered for employment decisions. It is used only for compliance with Federal laws. Your responses are strictly voluntary, and any information provided will remain confidential. If you choose not to 'self-identify', you will not be subject to any adverse treatment.","","","","https://xapps9.xilinx.com/irec_prod/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=779601927&retainAM=N&addBreadCrumb=RP&p_svid=78560&p_spid=3729020&oapc=17&oas=m2M74was1WArMflbX25nQQ.."
"IRC78313","System (or Market) Architect","San Jose, CA, US","Wireless Marketing, Communications Business Unit","ñ This person will partner with Tier 1 customers, architect and position Xilinx solutions to add value and eventually market success","ñ Be a trusted advisor to Tier 1 customers and drive the creation and execution of high value products:
ï Create long-term architectural level relationships with the technical experts who design and influence the evolution of the target application at both customers and customerís customer.
ï Drive product definition sessions with key architects at target customers.
ß Ensure application/market requirements drive product technical specifications.
ï Drive feasibility assessments and recommend/review/approve product definitions with PM, TME, and other relevant groups, as applicable.
ñ Support the execution of Business Development strategies for the target application/market:
ï Contribute to Sales account penetration plans.
ï Define prioritized Design Win targets.
ï Provide systems architecture and solutions support for sales efforts.
ï Lead technical response (architectural proposal) to RFQs and RFPs.
ï Support system-level design-in applications collateral - articles, demos, technical keynotes, panel presentations, and trade show support.
ñ Deliver platform-driven design wins at target customers.
ñ Support development of the strategic plan for the business:
ï Application platform strategy &amp; roadmap
ï Ecosystem partner strategy &amp; roadmap.
ñ Drive unique and compelling value into the application roadmaps and product definitions for silicon and IP (both horizontal and market specific).
ñ Demonstrated technical output:
ï Patents and trade secrets (as appropriate)
ï Participation in industry conferences, workshops, panels, standards committees, etc.
ï Journal articles (incl. Xcell Journal), applications notes, and white papers
ï Articles in industry publications
ï Mentoring of other employees
ï FPGA based Architecture White Papers","Applicants are treated throughout the employment process without regard to race, color, religion, national origin, citizenship, age, sex, marital status, ancestry, physical or mental disability, veteran status or sexual orientation. The information requested here is not gathered for employment decisions. It is used only for compliance with Federal laws. Your responses are strictly voluntary, and any information provided will remain confidential. If you choose not to 'self-identify', you will not be subject to any adverse treatment.","","","","https://xapps9.xilinx.com/irec_prod/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=779601927&retainAM=N&addBreadCrumb=RP&p_svid=78313&p_spid=3718013&oapc=20&oas=TFRgVYTiqXvB5Nu4I5Idfw.."
"IRC78500","Corporate and Community Engagement Administrative Assistant","San Jose, CA, US","Corporate Communications","SUMMARY
Provide administrative support to the Sr. Marketing Manager for Global Community Relations within the Corporate Communications department. Duties include general clerical, receptionist and project based work
.","PRIMARY RESPONSIBILITIES
ï Answer telephones and transfer as appropriate
ï Meet and greet clients and or visitors.
ï Create and modify documents using Microsoft Office.
ï Perform general clerical duties to include but not limited to: photocopying, faxing, mailing, and filing.
ï Maintain hard copy and electronic budget and filing systems
ï Assist with web page and SharePoint updates
ï Research, price, and purchase office supplies as needed
ï Setup and coordinate meetings and conferences.
ï Support manager and volunteers in assigned project based work.
ï Other duties as assigned.",".
KNOWLEDGE AND SKILL REQUIREMENTS
ï AA degree or high school diploma required
ï Basic reading, writing, and math skills and experience with Microsoft Office. Require professional verbal and written communication skills and the ability to type 50 wpm. Minimum of one to three years of clerical experience preferred
Applicants are treated throughout the employment process without regard to race, color, religion, national origin, citizenship, age, sex, marital status, ancestry, physical or mental disability, veteran status or sexual orientation. The information requested here is not gathered for employment decisions. It is used only for compliance with Federal laws. Your responses are strictly voluntary, and any information provided will remain confidential. If you choose not to 'self-identify', you will not be subject to any adverse treatment.","","","","https://xapps9.xilinx.com/irec_prod/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=779601927&retainAM=N&addBreadCrumb=RP&p_svid=78500&p_spid=3726020&oapc=23&oas=MXUz2G7I1ML1HsznwMI2HA.."
"IRC78677","Senior Staff Researcher","San Jose, CA, US","Xilinx Research Labs","Role
In this role you will work as part of a research team focused on enhancing the performance and accessibility of heterogeneous computing with embedded processors and FPGAs. The specific activities can be diverse ranging from quantifying system performance, assessing architectural options, developing new methodologies and tools, assessing third-party IP, to presenting results and writing reports, publishing papers or submitting patent applications as appropriate.
Responsibilities:
ï Research solutions to advanced and emerging technological challenges in heterogeneous computing
ï Contribute to the specification, evaluation and development of advanced heterogeneous architectures and associated tools and methodologies
ï Investigate new technologies and assess their potential value to Xilinx business
ï Construct proof-of-concept demonstrators
ï Identify and evaluate opportunities for new research directions and advocate best practice in emerging technologies
ï Work closely with colleagues from other Xilinx departments, as well as external partner companies and universities
ï Lead technical projects and supervise intern projects as required
ï Present research to internal and external audiences and publish and patent results
ï Stay current with latest trends in related technologies and industries","Qualifications:
ï PhD (preferred) in Electronic Engineering and/or Computer Science with at least 4 years post-doctoral experience, or MS with at least 8 years experience
ï Experience of working in research and advanced development environments including successful transfer of results and technology to industrial product groups
ï Strong programming skills including experience with object oriented techniques
ï Experience of advanced processor architectures and system interconnect
ï Experienced FPGA designer preferably with Xilinx FPGAs and design tools
ï Proven oral, and written communication skills in English
ï Track record of high-quality, published research work
ï Flexible self-starter capable of working with minimal supervision, running with new initiatives and eager to learn new skills
ï Excellent interpersonal and team skills, comfortable working with cross-functional and remote teams
Desirable
ï Appreciation of multi-core and parallel programming techniques
ï Experience of Linux/Android programming environments","Applicants are treated throughout the employment process without regard to race, color, religion, national origin, citizenship, age, sex, marital status, ancestry, physical or mental disability, veteran status or sexual orientation. The information requested here is not gathered for employment decisions. It is used only for compliance with Federal laws. Your responses are strictly voluntary, and any information provided will remain confidential. If you choose not to 'self-identify', you will not be subject to any adverse treatment.","","","","https://xapps9.xilinx.com/irec_prod/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=779601927&retainAM=N&addBreadCrumb=RP&p_svid=78677&p_spid=3736017&oapc=26&oas=TRF8tVTeuFnPyKCLw_ri0g.."
"IRC78556","senior verification engineer","Hyderabad,IN","IPS","ï Will be responsible for verifying Xilinx Embedded IP
ï Work closely with the team and cross site stakeholders to understand the requirements and deliverables
ï Responsible for technical leadership for verification and should able fiind techniques to uncover critical defects
ï Involved in project planning and execution, debugging and root-cause analysis, reporting failures, problem recreation and verification of the fixes","ï Self driven, motivated, results oriented individual with superior academic achievements
ï Excellent communication skill for working remotely with global team
ï BS in EE or equivalent with 5+ years of experience (or MS in EE with 4+ years experience)
ï Require knowledge on OVM helpful
ï Strong understanding of Xilinx FPGAs
ï Proficiency in VHDL, Verilog and System Verilog
ï Proficient in simulation tools","Applicants are treated throughout the employment process without regard to race, color, religion, national origin, citizenship, age, sex, marital status, ancestry, physical or mental disability, veteran status or sexual orientation. The information requested here is not gathered for employment decisions. It is used only for compliance with Federal laws. Your responses are strictly voluntary, and any information provided will remain confidential. If you choose not to 'self-identify', you will not be subject to any adverse treatment.","","","","https://xapps9.xilinx.com/irec_prod/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=779601927&retainAM=N&addBreadCrumb=RP&p_svid=78556&p_spid=3729016&oapc=29&oas=AeLbRzxeBeJ1xNDuPwiF4A.."
"IRC78614","Sr. Verification Engineer","San Jose, CA, US","GVT - Global Verification Technologies","Xilinx has a position for Senior Design Verification Engineer. The candidate for this position will architect and implement simulation verification environment, flows and infrastructure. Successful candidate will have proficiency in developing advanced verification flows.
The candidate will have an opportunity to help create reusable verification environments to be used across multiple projects.
The role involves VLSI functional verification including
∑ Developing coverage driven verification methodologies and flows
∑ Developing and implementing simulation and debug flows
∑ Developing functional coverage and coverage analysis environment
∑ Writing tools and scripts in Perl and other script languages to enhance the verification process
∑ Evaluating industry leading tools for use in design verification.","BS/MS in EE, Computer Engineering, or equivalent field.
Strong Software programming background
Strong verification background and proven experience in architecting and implementing verification tools and flows. Strong programming skills in Verilog and hardware verification languages (HVLs) such as SystemVerilog, Vera or Specman 'e'.
Programming skill and experience in one or more of C, C++ and perl is a strong plus. Comfort with a diversity of programming environments and tools. Experience with a reuse methodology/class library, such as VMM, OVM, RVM. Experience with Oriented Programming (OOP) techniques
Experience with developing verification tools like random code generators, regression management tools and automation of verification is highly desirable","Applicants are treated throughout the employment process without regard to race, color, religion, national origin, citizenship, age, sex, marital status, ancestry, physical or mental disability, veteran status or sexual orientation. The information requested here is not gathered for employment decisions. It is used only for compliance with Federal laws. Your responses are strictly voluntary, and any information provided will remain confidential. If you choose not to 'self-identify', you will not be subject to any adverse treatment.","","","","https://xapps9.xilinx.com/irec_prod/OA_HTML/OA.jsp?akRegionCode=IRC_VIS_VAC_DISPLAY_PAGE&akRegionApplicationId=800&OASF=IRC_VIS_VAC_DISPLAY&OAHP=IRC_EXT_SITE_VISITOR_APPL&transactionid=779601927&retainAM=N&addBreadCrumb=RP&p_svid=78614&p_spid=3732014&oapc=32&oas=dFMECMw9tWzkg7s87DVxHA.."
